identifiant;nom;prenom;sexe;adresse;club;annee_naissance;licence
12539;RACHEL;WILLIS;M;Thorigne;;1986;
12540;QUIRION;RICKEY;M;Vezin;;1987;
12541;PUSEY;JEAN;M;Le Rheu;;1988;
12542;PRUDEN;IRA;M;Fougeres;;1989;
12543;PRESSLER;ANDRES;M;Dinan;;1990;
12544;POTVIN;CESAR;M;Pont Pean;;1991;
12545;POSPISIL;JOHNATHAN;M;Pont Rean;;1992;
12546;PARADISO;MALCOLM;M;Chateaugiron;;1993;
12547;PANGBURN;RUDOLPH;M;Rennes;EARTA;1994;267687
12548;PALMATEER;DAMON;M;Cesson Sevigne;;1995;
12549;OWNBY;KELVIN;M;Rennes;;1996;
12550;OTWELL;RUDY;M;Romille;;1997;
12551;OSTERBERG;PRESTON;M;Chateaubourg;;1998;
12552;OSMOND;ALTON;M;Nantes;;1999;
12553;OLSSON;ARCHIE;M;Paris;;2000;
12554;OLD;MARCO;M;Saint Brieuc;;1996;
12555;OBERLANDER;WM ;M;Brest;;1997;
12556;NUSBAUM;PETE;M;Morlaix;;1998;
12557;NOVACK;RANDOLPH;M;Quimper;ASPTT Quimper;1999;267697
12558;NOKES;GARRY;M;Bruz;Bruz Athletisme;2000;267698
12559;NICASTRO;GEOFFREY;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1963;267699
12560;NEHLS;JONATHON;M;Chantepie;;1965;
12561;NAY;FELIPE;M;Saint Erblon;;1969;
12562;NABER;BENNIE;M;La Meziere;Agile Talon;1961;267702
12563;MULHERN;GERARDO;M;Montgermont;;1951;
12564;MOTTER;ED ;M;Bourgbarre;;1955;
12565;MORETZ;DOMINIC;M;Orgeres;Jogging Loisir Orgeres;1957;267705
12566;MILIAN;ROBIN;M;Montfort;EAPB;1947;267706
12567;MERCEDES;LOREN;M;Iffendic;;1970;
12568;MCKEEL;DELBERT;M;Melesse;JA Melesse Athletisme;1971;267708
12569;MCCLAY;COLIN;M;Bruz;;1972;
12570;MCCART;GUILLERMO;M;Saint Malo;CJF St Malo;1973;267710
12571;MATSUDA;EARNEST;M;Dinard;;1974;
12572;MARY;LUCAS;M;Angers;Anjou Athletisme;1975;267712
12573;MARTUCCI;BENNY;M;Brest;Stade Brestois;1975;267713
12574;MARPLE;NOEL;M;Nantes;;1976;
12575;MARKO;SPENCER;M;Pace;SRA;1976;267715
12576;MARCINIAK;RODOLFO;M;Vern;;1977;
12577;MANES;MYRON;M;Mordelles;;1977;
12578;MANCIA;EDMUND;M;Saint Brieuc;ASPTT St Brieuc;1978;267718
12579;MAKER;GARRETT;M;Paris;;1979;
12580;MACRAE;SALVATORE;M;Chantepie;;1980;
12581;LYBARGER;CEDRIC;M;Cesson Sevigne;Athletic club cessonais;1981;267721
12582;LINT;LOWELL;M;Thorigne;;1978;
12583;LINEBERGER;GREGG;M;Vezin;;1979;
12584;LEVINGSTON;SHERMAN;M;Le Rheu;;1980;
12585;LECROY;WILSON;M;Fougeres;ASPTT Fougeres;1981;267725
12586;LATTIMER;DEVIN;M;Dinan;;1982;
12587;LASETER;SYLVESTER;M;Pont Pean;;1983;
12588;KULICK;KIM;M;Pont Rean;;1984;
12589;KRIER;ROOSEVELT;M;Chateaugiron;;1985;
12590;KNUTSEN;ISRAEL;M;Rennes;SRA;1986;267730
12591;KLEM;JERMAINE;M;Cesson Sevigne;;1987;
12592;KINNE;FORREST;M;Rennes;SRA;1988;267732
12593;KINKADE;WILBERT;M;Romille;;1989;
12594;KETTERMAN;LELAND;M;Chateaubourg;;1990;
12595;KERSTETTER;SIMON;M;Nantes;Nantes Metropole Athletisme;1982;267735
12596;KERSTEN;GUADALUPE;M;Paris;;1983;
12597;KARAM;CLARK;M;Saint Brieuc;;1984;
12598;JURY;IRVING;M;Brest;;1985;
12599;JOSHI;CARROLL;M;Morlaix;;1986;
12600;JIN;BRYANT;M;Quimper;;1987;
12601;JENT;OWEN;M;Bruz;;1988;
12602;JEFCOAT;RUFUS;M;Chartres de Bretagne;EACB;1989;267742
12603;HILLIER;WOODROW;M;Chantepie;;1990;
12604;HILLHOUSE;SAMMY;M;Saint Erblon;;1991;
12605;HETTINGER;KRISTOPHER;M;La Meziere;;1992;
12606;HENTHORN;MACK;M;Montgermont;;1993;
12607;HENLINE;LEVI;M;Bourgbarre;;1994;
12608;HELZER;MARCOS;M;Orgeres;;1995;
12609;HEITZMAN;GUSTAVO;M;Montfort;;1996;
12610;HEINEMAN;JAKE;M;Iffendic;;1997;
12611;HEENAN;LIONEL;M;Melesse;;1998;
12612;HAUGHTON;MARTY;M;Bruz;;1999;
12613;HARIS;TAYLOR;M;Saint Malo;;2000;
12614;HARBERT;ELLIS;M;Dinard;;1983;
12615;HAMAN;DALLAS;M;Angers;;1984;
12616;GRINSTEAD;GILBERTO;M;Brest;;1985;
12617;GREMILLION;CLINT;M;Nantes;;1986;
12618;GORBY;NICOLAS;M;Pace;;1987;
12619;GIRALDO;LAURENCE;M;Vern;;1988;
12620;GIOIA;ISMAEL;M;Mordelles;;1989;
12621;GERARDI;ORVILLE;M;Saint Brieuc;;1990;
12622;GERAGHTY;DREW;M;Paris;Racing club;1991;267762
12623;GAUNT;JODY;M;Chantepie;;1992;
12624;GATSON;ERVIN;M;Cesson Sevigne;;1993;
12625;GARDIN;DEWEY;M;Thorigne;;1994;
12626;GANS;AL ;M;Vezin;;1995;
12627;GAMMILL;WILFRED;M;Le Rheu;;1996;
12628;GAMES;JOSH;M;Fougeres;;1997;
12629;GAIN;HUGO;M;Dinan;;1998;
12630;FRIEDLANDER;IGNACIO;M;Pont Pean;;1999;
12631;FRAHM;CALEB;M;Pont Rean;;2000;
12632;FOSSETT;TOMAS;M;Chateaugiron;;1996;
12633;FOSDICK;SHELDON;M;Rennes;EARTA;1997;267773
12634;FORTH;ERICK;M;Cesson Sevigne;;1998;
12635;FORBUSH;FRANKIE;M;Rennes;;1999;
12636;FONDREN;STEWART;M;Romille;;2000;
12637;FLECKENSTEIN ;DOYLE;M;Chateaubourg;;1963;
12638;FITCHETT;DARREL;M;Nantes;;1965;
12639;FILER;ROGELIO;M;Paris;;1969;
12640;FELIZ;TERENCE;M;Saint Brieuc;;1961;
12641;FEIST;SANTIAGO;M;Brest;;1951;
12642;EWART;ALONZO;M;Morlaix;;1955;
12643;EVELYN;ELIAS;M;Quimper;ASPTT Quimper;1957;267783
12644;ESTERS;BERT;M;Bruz;Bruz Athletisme;1947;267784
12645;ELSNER;ELBERT;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1970;267785
12646;EDGIN;RAMIRO;M;Chantepie;;1971;
12647;EDDIE;CONRAD;M;Saint Erblon;;1972;
12648;EASTERLY;PAT;M;La Meziere;Agile Talon;1973;267788
12649;DUSSAULT;NOAH;M;Montgermont;;1974;
12650;DURAZO;GRADY;M;Bourgbarre;;1975;
12651;DON;PHIL;M;Orgeres;Jogging Loisir Orgeres;1975;267791
12652;DEVEREAUX;CORNELIUS;M;Montfort;EAPB;1976;267792
12653;DESHOTEL;LAMAR;M;Iffendic;;1976;
12654;DECKERT;ROLANDO;M;Melesse;JA Melesse Athletisme;1977;267794
12655;DARGAN;CLAY;M;Bruz;;1977;
12656;DARE;PERCY;M;Saint Malo;CJF St Malo;1978;267796
12657;CORNMAN;DEXTER;M;Dinard;;1979;
12658;CONKLE;BRADFORD;M;Angers;Anjou Athletisme;1980;267798
12659;CONDIT;MERLE;M;Brest;Stade Brestois;1981;267799
12660;COMMANDER;DARIN;M;Nantes;;1978;
12661;CLAUNCH;AMOS;M;Pace;SRA;1979;267801
12662;CLABAUGH;TERRELL;M;Vern;;1980;
12663;CHUTE;MOSES;M;Mordelles;;1981;
12664;CHEESMAN;IRVIN;M;Saint Brieuc;ASPTT St Brieuc;1982;267804
12665;CHEA;SAUL;M;Paris;;1983;
12666;CHARNEY;ROMAN;M;Chantepie;;1984;
12667;CHARLESTON;DARNELL;M;Cesson Sevigne;Athletic club cessonais;1985;267807
12668;CASELLA;RANDAL;M;Thorigne;;1986;
12669;CARONE;TOMMIE;M;Vezin;;1987;
12670;CARBONELL;TIMMY;M;Le Rheu;;1988;
12671;CANIPE;DARRIN;M;Fougeres;ASPTT Fougeres;1989;267811
12672;CAMPANA;WINSTON;M;Dinan;;1990;
12673;CALLES;BRENDAN;M;Pont Pean;;1982;
12674;CABEZAS;TOBY;M;Pont Rean;;1983;
12675;CABELL;VAN;M;Chateaugiron;;1984;
12676;BUTTRAM;ABEL;M;Rennes;SRA;1985;267816
12677;BUSTILLOS;DOMINICK;M;Cesson Sevigne;;1986;
12678;BUSKIRK;BOYD;M;Rennes;SRA;1987;267818
12679;BOYLAND;COURTNEY;M;Romille;;1988;
12680;BOURKE;JAN;M;Chateaubourg;;1989;
12681;BLAKELEY;EMILIO;M;Nantes;Nantes Metropole Athletisme;1990;267821
12682;BIG;ELIJAH;M;Paris;;1991;
12683;BERUMEN;CARY;M;Saint Brieuc;;1992;
12684;BERRIER;DOMINGO;M;Brest;;1993;
12685;BENCH;SANTOS;M;Morlaix;;1994;
12686;BELLI;AUBREY;M;Quimper;;1995;
12687;BEHRENDT;EMMETT;M;Bruz;;1996;
12688;BAUMBACH;MARLON;M;Chartres de Bretagne;EACB;1997;267828
12689;BARTSCH;EMANUEL;M;Chantepie;;1998;
12690;BANEY;JERALD;M;Saint Erblon;;1999;
12691;ARAMBULA;EDMOND;M;La Meziere;;2000;
12692;ALLDREDGE;EMIL;M;Montgermont;;1983;
12693;ALLBRITTON;DEWAYNE;M;Bourgbarre;;1984;
12694;ZIEMBA;WILL;M;Orgeres;;1985;
12695;ZANDERS;OTTO;M;Montfort;;1986;
12696;YOUNGQUIST;TEDDY;M;Iffendic;;1987;
12697;YOSHIOKA;REYNALDO;M;Melesse;;1988;
12698;YOHE;BRET;M;Bruz;;1989;
12699;WUNDER;MORGAN;M;Saint Malo;;1990;
12700;WOODFIN;JESS;M;Dinard;;1991;
12701;WOJTOWICZ;TRENT;M;Angers;;1992;
12702;WINKEL;HUMBERTO;M;Brest;;1993;
12703;WILMORE;EMMANUEL;M;Nantes;;1994;
12704;WILLBANKS;STEPHAN;M;Pace;;1995;
12705;WESOLOWSKI;LOUIE;M;Vern;;1996;
12706;WENDLAND;VICENTE;M;Mordelles;;1997;
12707;WALKO;LAMONT;M;Saint Brieuc;;1998;
12708;VOTAW;STACY;M;Paris;Racing club;1999;267848
12709;VANEK;GARLAND;M;Chantepie;;2000;
12710;URIARTE;MILES;M;Cesson Sevigne;;1996;
12711;URBANO;MICAH;M;Thorigne;;1997;
12712;TURNIPSEED;EFRAIN;M;Vezin;;1998;
12713;TRICHE;BILLIE;M;Le Rheu;;1999;
12714;TRAUTMAN;LOGAN;M;Fougeres;;2000;
12715;TOWLER;HEATH;M;Dinan;;1963;
12716;TOKARZ;RODGER;M;Pont Pean;;1965;
12717;TEMPLES;HARLEY;M;Pont Rean;;1969;
12718;TEFFT;DEMETRIUS;M;Chateaugiron;;1961;
12719;TEEGARDEN;ETHAN;M;Rennes;EARTA;1951;267859
12720;SYED;ELDON;M;Cesson Sevigne;;1955;
12721;SWIGART;ROCKY;M;Rennes;;1957;
12722;STRYKER;PIERRE;M;Romille;;1947;
12723;STOLLER;JUNIOR;M;Chateaubourg;;1970;
12724;STAPLER;FREDDY;M;Nantes;;1971;
12725;STANSFIELD;ELI;M;Paris;;1972;
12726;SMIT;BRYCE;M;Saint Brieuc;;1973;
12727;SMELLEY;ANTOINE;M;Brest;;1974;
12728;SICARD;ROBBIE;M;Morlaix;;1975;
12729;SHULMAN;KENDALL;M;Quimper;ASPTT Quimper;1975;267869
12730;SHEW;ROYCE;M;Bruz;Bruz Athletisme;1976;267870
12731;SHEAR;STERLING;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1976;267871
12732;SHEAHAN;MICKEY;M;Chantepie;;1977;
12733;SHARPTON;CHASE;M;Saint Erblon;;1977;
12734;SELVIDGE;GROVER;M;La Meziere;Agile Talon;1978;267874
12735;SCHLESINGER;ELTON;M;Montgermont;;1979;
12736;SAVELL;CLEVELAND;M;Bourgbarre;;1980;
12737;SANDFORD;DYLAN;M;Orgeres;Jogging Loisir Orgeres;1981;267877
12738;SABATINO;CHUCK;M;Montfort;EAPB;1978;267878
12739;ROSENBLOOM;DAMIAN;M;Iffendic;;1979;
12740;ROEPKE;REUBEN;M;Melesse;JA Melesse Athletisme;1980;267880
12741;RISH;STAN;M;Bruz;;1981;
12742;RHAMES;AUGUST;M;Saint Malo;CJF St Malo;1982;267882
12743;RENKEN;LEONARDO;M;Dinard;;1983;
12744;REGER;JASPER;M;Angers;Anjou Athletisme;1984;267884
12745;RAPPAPORT;RUSSEL;M;Brest;Stade Brestois;1985;267885
12746;QUARTERMAN;ERWIN;M;Nantes;;1986;
12747;PUIG;BENITO;M;Pace;SRA;1987;267887
12748;PRASAD;HANS;M;Vern;;1988;
12749;POPLAR;MONTE;M;Mordelles;;1989;
12750;PIZANO;BLAINE;M;Saint Brieuc;ASPTT St Brieuc;1990;267890
12751;PIGOTT;ERNIE;M;Paris;;1982;
12752;PICK;CURT;M;Chantepie;;1983;
12753;PHAIR;QUENTIN;M;Cesson Sevigne;Athletic club cessonais;1984;267893
12754;PETRICK;AGUSTIN;M;Thorigne;;1985;
12755;PATT;MURRAY;M;Vezin;;1986;
12756;PASCUA;JAMAL;M;Le Rheu;;1987;
12757;PARAMORE;DEVON;M;Fougeres;ASPTT Fougeres;1988;267897
12758;PAPINEAU;ADOLFO;M;Dinan;;1989;
12759;OLIVIERI;HARRISON;M;Pont Pean;;1990;
12760;OGREN;TYSON;M;Pont Rean;;1991;
12761;NORDEN;BURTON;M;Chateaugiron;;1992;
12762;NOGA;BRADY;M;Rennes;SRA;1993;267902
12763;NISBET;ELLIOTT;M;Cesson Sevigne;;1994;
12764;MUNK;WILFREDO;M;Rennes;SRA;1995;267904
12765;MUNCH;BART;M;Romille;;1996;
12766;MUI;JARROD;M;Chateaubourg;;1997;
12767;MORVANT;VANCE;M;Nantes;Nantes Metropole Athletisme;1998;267907
12768;MORO;DENIS;M;Paris;;1999;
12769;MOLONEY;DAMIEN;M;Saint Brieuc;;2000;
12770;MERZ;JOAQUIN;M;Brest;;1983;
12771;MENG;HARLAN;M;Morlaix;;1984;
12772;MELTZER;DESMOND;M;Quimper;;1985;
12773;MELLINGER;ELLIOT;M;Bruz;;1986;
12774;MEHL;DARWIN;M;Chartres de Bretagne;EACB;1987;267914
12775;MCNEALY;ASHLEY;M;Chantepie;;1988;
12776;MCKERNAN;GREGORIO;M;Saint Erblon;;1989;
12777;MCHANEY;BUDDY;M;La Meziere;;1990;
12778;MCCLESKEY;XAVIER;M;Montgermont;;1991;
12779;MCANDREWS;KERMIT;M;Bourgbarre;;1992;
12780;MAYTON;ROSCOE;M;Orgeres;;1993;
12781;MAYOR;ESTEBAN;M;Montfort;;1994;
12782;MARKERT;ANTON;M;Iffendic;;1995;
12783;MARESCA;SOLOMON;M;Melesse;;1996;
12784;MARCELLUS;SCOTTY;M;Bruz;;1997;
12785;MANER;NORBERT;M;Saint Malo;;1998;
12786;MANDUJANO;ELVIN;M;Dinard;;1999;
12787;MALPASS;WILLIAMS;M;Angers;;2000;
12788;MACINTYRE;NOLAN;M;Brest;;1996;
12789;LYTTON;CAREY;M;Nantes;;1997;
12790;LYALL;ROD;M;Pace;;1998;
12791;LUMMUS;QUINTON;M;Vern;;1999;
12792;LONGSHORE;HAL;M;Mordelles;;2000;
12793;LONGFELLOW;BRAIN;M;Saint Brieuc;;1963;
12794;LOKEY;ROB;M;Paris;Racing club;1965;267934
12795;LOCHER;ELWOOD;M;Chantepie;;1969;
12796;LEVERETTE;KENDRICK;M;Cesson Sevigne;;1961;
12797;LEPE;DARIUS;M;Thorigne;;1951;
12798;LEFEVER;MOISES;M;Vezin;;1955;
12799;LEESON;SON;M;Le Rheu;;1957;
12800;LEDERER;MARLIN;M;Fougeres;;1947;
12801;LAMPERT;FIDEL;M;Dinan;;1970;
12802;LAGRONE;THADDEUS;M;Pont Pean;;1971;
12803;LA ;CLIFF;M;Pont Rean;;1972;
12804;KREIDER;MARCEL;M;Chateaugiron;;1973;
12805;KORTH;ALI;M;Rennes;EARTA;1974;267945
12806;KNOPF;JACKSON;M;Cesson Sevigne;;1975;
12807;KLEIST;RAPHAEL;M;Rennes;;1975;
12808;KISS;BRYON;M;Romille;;1976;
12809;KELTNER;ARMAND;M;Chateaubourg;;1976;
12810;KELLING;ALVARO;M;Nantes;;1977;
12811;KASPAR;JEFFRY;M;Paris;;1977;
12812;KAPPLER;DANE;M;Saint Brieuc;;1978;
12813;JUSTIN;JOESPH;M;Brest;;1979;
12814;JOSEPHS;THURMAN;M;Morlaix;;1980;
12815;JIANG;NED;M;Quimper;ASPTT Quimper;1981;267955
12816;HUCKINS;SAMMIE;M;Bruz;Bruz Athletisme;1978;267956
12817;HORACE;RUSTY;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1979;267957
12818;HOLUB;MICHEL;M;Chantepie;;1980;
12819;HOFSTETTER;MONTY;M;Saint Erblon;;1981;
12820;HOEHN;RORY;M;La Meziere;Agile Talon;1982;267960
12821;HIGGINSON;FABIAN;M;Montgermont;;1983;
12822;HENNINGS;REGGIE;M;Bourgbarre;;1984;
12823;HEID;MASON;M;Orgeres;Jogging Loisir Orgeres;1985;267963
12824;HAVEL;GRAHAM;M;Montfort;EAPB;1986;267964
12825;HAUER;KRIS;M;Iffendic;;1987;
12826;HARNDEN;ISAIAH;M;Melesse;JA Melesse Athletisme;1988;267966
12827;HARGREAVES;VAUGHN;M;Bruz;;1989;
12828;HANGER;GUS;M;Saint Malo;CJF St Malo;1990;267968
12829;GUILD;AVERY;M;Dinard;;1982;
12830;GUIDI;LOYD;M;Angers;Anjou Athletisme;1983;267970
12831;GRATE;DIEGO;M;Brest;Stade Brestois;1984;267971
12832;GRANDY;ALEXIS;M;Nantes;;1985;
12833;GRANDSTAFF;ADOLPH;M;Pace;SRA;1986;267973
12834;GOZA;NORRIS;M;Vern;;1987;
12835;GOODRIDGE;MILLARD;M;Mordelles;;1988;
12836;GOODFELLOW;ROCCO;M;Saint Brieuc;ASPTT St Brieuc;1989;267976
12837;GOGGANS;GONZALO;M;Paris;;1990;
12838;GODLEY;DERICK;M;Chantepie;;1991;
12839;GIUSTI;RODRIGO;M;Cesson Sevigne;Athletic club cessonais;1992;267979
12840;GILYARD;GERRY;M;Thorigne;;1993;
12841;GEOGHEGAN;STACEY;M;Vezin;;1994;
12842;GALYON;CARMEN;M;Le Rheu;;1995;
12843;GAETA;WILEY;M;Fougeres;ASPTT Fougeres;1996;267983
12844;FUNES;RIGOBERTO;M;Dinan;;1997;
12845;FONT;ALPHONSO;M;Pont Pean;;1998;
12846;FLOR;TY ;M;Pont Rean;;1999;
12847;FLANARY;SHELBY;M;Chateaugiron;;2000;
12848;FALES;RICKIE;M;Rennes;SRA;1983;267988
12849;ERLANDSON;NOE;M;Cesson Sevigne;;1984;
12850;ELLETT;VERN;M;Rennes;SRA;1985;267990
12851;ELIA;BOBBIE;M;Romille;;1986;
12852;EDINGER;REED;M;Chateaubourg;;1987;
12853;DZIEDZIC;JEFFERSON;M;Nantes;Nantes Metropole Athletisme;1988;267993
12854;DUERR;ELVIS;M;Paris;;1989;
12855;DRAUGHN;BERNARDO;M;Saint Brieuc;;1990;
12856;DONOHO;MAURICIO;M;Brest;;1991;
12857;DIMATTEO;HIRAM;M;Morlaix;;1992;
12858;DEVOS;DONOVAN;M;Quimper;;1993;
12859;DEMATTEO;BASIL;M;Bruz;;1994;
12860;DEGNAN;RILEY;M;Chartres de Bretagne;EACB;1995;268000
12861;DARLINGTON;OLLIE;M;Chantepie;;1996;
12862;DANIS;NICKOLAS;M;Saint Erblon;;1997;
12863;DAM;MAYNARD;M;La Meziere;;1998;
12864;DAHLSTROM;SCOT;M;Montgermont;;1999;
12865;DAHLKE;VINCE;M;Bourgbarre;;2000;
12866;CZAJKOWSKI;QUINCY;M;Orgeres;;1996;
12867;CUMBIE;EDDY;M;Montfort;;1997;
12868;CULBERT;SEBASTIAN;M;Iffendic;;1998;
12869;CROSIER;FEDERICO;M;Melesse;;1999;
12870;CROLEY;ULYSSES;M;Bruz;;2000;
12871;CORRY;HERIBERTO;M;Saint Malo;;1963;
12872;CLINGER;DONNELL;M;Dinard;;1965;
12873;CHESHIRE;COLE;M;Angers;;1969;
12874;CHALKER;DENNY;M;Brest;;1961;
12875;CEPHAS;DAVIS;M;Nantes;;1951;
12876;CAYWOOD;GAVIN;M;Pace;;1955;
12877;CAVALIER;EMERY;M;Vern;;1957;
12878;CAPEHART;WARD;M;Mordelles;;1947;
12879;CALES;ROMEO;M;Saint Brieuc;;1970;
12880;CADIZ;JAYSON;M;Paris;Racing club;1971;268020
12881;BUSSIERE;DION;M;Chantepie;;1972;
12882;BURRISS;DANTE;M;Cesson Sevigne;;1973;
12883;BURKART;CLEMENT;M;Thorigne;;1974;
12884;BRUNDIDGE;COY;M;Vezin;;1975;
12885;BRONSTEIN;ODELL;M;Le Rheu;;1975;
12886;BREEZE;MAXWELL;M;Fougeres;;1976;
12887;BRADT;JARVIS;M;Dinan;;1976;
12888;BOYDSTON;BRUNO;M;Pont Pean;;1977;
12889;BOSTROM;ISSAC;M;Pont Rean;;1977;
12890;BOREL;MARY;M;Chateaugiron;;1978;
12891;BOLLES;DUDLEY;M;Rennes;EARTA;1979;268031
12892;BLAY;BROCK;M;Cesson Sevigne;;1980;
12893;BLACKWELDER;SANFORD;M;Rennes;;1981;
12894;BISSETT;COLBY;M;Romille;;1978;
12895;BEVERS;CARMELO;M;Chateaubourg;;1979;
12896;BESTER;BARNEY;M;Nantes;;1980;
12897;BERNARDINO;NESTOR;M;Paris;;1981;
12898;BENEFIEL;HOLLIS;M;Saint Brieuc;;1982;
12899;BELOTE;STEFAN;M;Brest;;1983;
12900;BEEDLE;DONNY;M;Morlaix;;1984;
12901;BECKLES;ART;M;Quimper;ASPTT Quimper;1985;268041
12902;BAYSINGER;LINWOOD;M;Bruz;Bruz Athletisme;1986;268042
12903;BASSLER;BEAU;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1987;268043
12904;BARTEE;WELDON;M;Chantepie;;1988;
12905;BARLETT;GALEN;M;Saint Erblon;;1989;
12906;BARGAS;ISIDRO;M;La Meziere;Agile Talon;1990;268046
12907;BAREFIELD;TRUMAN;M;Montgermont;;1982;
12908;BAPTISTA;DELMAR;M;Bourgbarre;;1983;
12909;ARTERBURN;JOHNATHON;M;Orgeres;Jogging Loisir Orgeres;1984;268049
12910;ARMAS;SILAS;M;Montfort;EAPB;1985;268050
12911;APPERSON;FREDERIC;M;Iffendic;;1986;
12912;AMOROSO;DICK;M;Melesse;JA Melesse Athletisme;1987;268052
12913;AMEDEE;KIRBY;M;Bruz;;1988;
12914;ZULLO;IRWIN;M;Saint Malo;CJF St Malo;1989;268054
12915;ZELLNER;CRUZ;M;Dinard;;1990;
12916;YELTON;MERLIN;M;Angers;Anjou Athletisme;1991;268056
12917;WILLEMS;MERRILL;M;Brest;Stade Brestois;1992;268057
12918;WILKIN;CHARLEY;M;Nantes;;1993;
12919;WIGGIN;MARCELINO;M;Pace;SRA;1994;268059
12920;WIDMAN;LANE;M;Vern;;1995;
12921;WELK;HARRIS;M;Mordelles;;1996;
12922;WEINGARTEN;CLEO;M;Saint Brieuc;ASPTT St Brieuc;1997;268062
12923;WALLA;CARLO;M;Paris;;1998;
12924;VIERS;TRENTON;M;Chantepie;;1999;
12925;VESS;KURTIS;M;Cesson Sevigne;Athletic club cessonais;2000;268065
12926;VERDI;HUNTER;M;Thorigne;;1983;
12927;VEAZEY;AURELIO;M;Vezin;;1984;
12928;VANNOTE;WINFRED;M;Le Rheu;;1985;
12929;TULLOS;VITO;M;Fougeres;ASPTT Fougeres;1986;268069
12930;TRUDELL;COLLIN;M;Dinan;;1987;
12931;TROWER;DENVER;M;Pont Pean;;1988;
12932;TROSPER;CARTER;M;Pont Rean;;1989;
12933;TRIMM;LEONEL;M;Chateaugiron;;1990;
12934;TREW;EMORY;M;Rennes;SRA;1991;268074
12935;TOUSIGNANT;PASQUALE;M;Cesson Sevigne;;1992;
12936;TOPP;MOHAMMAD;M;Rennes;SRA;1993;268076
12937;TOCCO;MARIANO;M;Romille;;1994;
12938;THORESON;DANIAL;M;Chateaubourg;;1995;
12939;TERHUNE;BLAIR;M;Nantes;Nantes Metropole Athletisme;1996;268079
12940;TATOM;LANDON;M;Paris;;1997;
12941;SUNIGA;DIRK;M;Saint Brieuc;;1998;
12942;SUMTER;BRANDEN;M;Brest;;1999;
12943;STEEVES;ADAN;M;Morlaix;;2000;
12944;STANSELL;NUMBERS;M;Quimper;;1996;
12945;SOLTIS;CLAIR;M;Bruz;;1997;
12946;SLOSS;BUFORD;M;Chartres de Bretagne;EACB;1998;268086
12947;SLAVEN;GERMAN;M;Chantepie;;1999;
12948;SING;BERNIE;M;Saint Erblon;;2000;
12949;SHISLER;WILMER;M;La Meziere;;1963;
12950;SHERIFF;JOAN;M;Montgermont;;1965;
12951;SHANLEY;EMERSON;M;Bourgbarre;;1969;
12952;SERVANTES;ZACHERY;M;Orgeres;;1961;
12953;SELDERS;FLETCHER;M;Montfort;;1951;
12954;SEGREST;JACQUES;M;Iffendic;;1955;
12955;SEESE;ERROL;M;Melesse;;1957;
12956;SEEBER;DALTON;M;Bruz;;1947;
12957;SCHAIBLE;MONROE;M;Saint Malo;;1970;
12958;SAVALA;JOSUE;M;Dinard;;1971;
12959;SARTOR;DOMINIQUE;M;Angers;;1972;
12960;RUTT;EDWARDO;M;Brest;;1973;
12961;RUMBAUGH;BOOKER;M;Nantes;;1974;
12962;RUIS;WILFORD;M;Pace;;1975;
12963;ROTEN;SONNY;M;Vern;;1975;
12964;ROESSLER;SHELTON;M;Mordelles;;1976;
12965;RITENOUR;CARSON;M;Saint Brieuc;;1976;
12966;RINEY;THERON;M;Paris;Racing club;1977;268106
12967;RESTIVO;RAYMUNDO;M;Chantepie;;1977;
12968;RENE;DAREN;M;Cesson Sevigne;;1978;
12969;RENARD;TRISTAN;M;Thorigne;;1979;
12970;RAKESTRAW;HOUSTON;M;Vezin;;1980;
12971;RAKE;ROBBY;M;Le Rheu;;1981;
12972;RACHAL;LINCOLN;M;Fougeres;;1978;
12973;QUIROS;JAME;M;Dinan;;1979;
12974;PULLIN;GENARO;M;Pont Pean;;1980;
12975;PRUDHOMME;GALE;M;Pont Rean;;1981;
12976;PRIMEAUX;BENNETT;M;Chateaugiron;;1982;
12977;PRESTRIDGE;OCTAVIO;M;Rennes;EARTA;1983;268117
12978;PRESSWOOD;CORNELL;M;Cesson Sevigne;;1984;
12979;PONTE;LAVERNE;M;Rennes;;1985;
12980;POLZIN;HUNG;M;Romille;;1986;
12981;POARCH;ARRON;M;Chateaubourg;;1987;
12982;PITTENGER;ANTONY;M;Nantes;;1988;
12983;PIGGOTT;HERSCHEL;M;Paris;;1989;
12984;PICKELL;ALVA;M;Saint Brieuc;;1990;
12985;PHANEUF;GIOVANNI;M;Brest;;1982;
12986;PARVIN;GARTH;M;Morlaix;;1983;
12987;PARMLEY;CYRUS;M;Quimper;ASPTT Quimper;1984;268127
12988;PALMERI;CYRIL;M;Bruz;Bruz Athletisme;1985;268128
12989;PAISLEY;RONNY;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1986;268129
12990;OZMENT;STEVIE;M;Chantepie;;1987;
12991;ORMOND;LON;M;Saint Erblon;;1988;
12992;ORDAZ;FREEMAN;M;La Meziere;Agile Talon;1989;268132
12993;ONO;ERIN;M;Montgermont;;1990;
12994;OLEA;DUNCAN;M;Bourgbarre;;1991;
